Language,Average Salary (USD),Number of Jobs
Solidity,178000,154
Clojure,160000,46
Rust,140000,309
ABAP,137000,239
Bash,133000,269
C/C++,132000,4000
Scala,131000,848
Ruby,131000,3600
VHDL,131000,8
Groovy,129000,55
Go,125000,2000
Kotlin,124000,279
Python,124000,19000
Objective-C,123000,52
Haskell,121000,17
Swift,119000,340
Java,119000,34000
C#,117000,23000
TypeScript,116000,11000
JavaScript,116000,30000
COBOL,115000,197
Fortran,113000,7
Julia,113000,2
Perl,113000,124
SQL,112000,4800
MATLAB,111000,180
Lua,108000,442
R,107000,2300
Erlang,106000,12
Delphi/O.Pascal,105000,221
Dart,104000,357
PHP,98000,4800
